company,city,segment,contact_name,role,email,source_url,pain_signal,recommended_plan,personalization_line,confidence,status
Stația de Cafea,Timișoara,multi_location,Echipă,Contact general,contact@statiadecafea.ro,https://statiadecafea.ro/contact/,2 locații (Revoluției + Vox Technology Park); program diferit — personal shift manual.,multi_location,Stația de Cafea pe Revoluției și Vox Park au programe diferite — POS cu clock-in per locație ar simplifica turele.,high,pending
Lex Coffee,Timișoara,multi_location,Echipă,Contact general,shop@lexcoffe.ro,https://lexcoffee.ro/,2 locații Piața Unirii Timișoara est. 2024 — brand nou care trebuie să compare locațiile rapid.,multi_location,Lex Coffee a deschis a doua locație în Timișoara — POS comparativ ar arăta care unitate iese pe plus.,high,pending
Meron,Cluj-Napoca,multi_location,Echipă,Contact general,office@meron.coffee,https://www.meron.coffee/contact/,Home of Coffee Cluj; prăjitorie + cafenele + wholesale — orders@meron.coffee pentru comenzi separate.,multi_location,Meron e prăjitorie și lanț café din Cluj — POS wholesale + retail ar lega comenzile HoReCa de producție.,high,pending
La Ceaun,Brașov,multi_location,Echipă,Contact general,contact@laceaun.ro,https://www.laceaun.ro/,2 locații (Piața Sfatului + Michael Weiss); mâncare tradițională ceaun — busy lunch ambele.,multi_location,La Ceaun pe Sfatului și Weiss umple prânzurile — POS cu alertă ocupare ar balansa clienții între locații.,high,pending
Brutăria cu Maia,București,multi_location,Echipă,Contact general,office@brutariacumaia.ro,https://brutariacumaia.ro/,2 locații (Maior Câmpeanu + Drumul Taberei); comenzi online ridicare — stoc pâine per shop.,multi_location,Brutăria cu Maia pe Câmpeanu și Taberei coace pe comandă — inventar POS per locație ar opri overselling-ul.,high,pending
Brutăria Merloni,București,multi_location,Echipă,Contact general,contact@brutariamerloni.ro,https://brutariamerloni.ro/contact/,2 locații (Râmnicu Sărat București + Afumați); comenzi WhatsApp personalizate.,multi_location,Merloni pe Vâlcea 17 și Afumați preia comenzi speciale pe WhatsApp — POS le-ar transforma în comenzi urmărite.,high,pending
Brutăria MAIU,București,multi_location,Echipă,Contact general,office@brutariamaiu.ro,https://brutariamaiu.ro/contact/,2 locații Sector 3 (Foișorului + Octavian Goga); program similar — producție artizanală.,multi_location,MAIU pe Foișorului și Goga vinde pâine artizanală — POS multi-shop ar arata care cartier consumă mai mult.,high,pending
Narativ Coffee,Timișoara,multi_location,Echipă,Comenzi,comenzi@narativcoffee.ro,https://narativcoffee.ro/contact/,2 locații (Titulescu + Regele Mihai); shop online boabe — stoc cafea per loc.,multi_location,Narativ pe Titulescu și Regele Mihai vinde specialty — inventar boabe sincronizat ar evita ruptura la weekend.,high,pending
Pizzeria Volare,București,multi_location,Echipă,Contact general,pizzavolare@yahoo.com,https://www.pizzeria-volare.ro/contact,3 locații (Piccola Allegro Natura); app TapTasty — POS in-store vs. app neclar.,multi_location,Volare cu Piccola Allegro și Natura folosește app — POS in-store aliniat cu app ar elimina dublarea comenzilor.,high,pending
Reset Irish Pub,Brăila,multi_location,Echipă,Contact general,office@restaurant-reset.ro,https://zilesinopti.ro/locuri/scuar-by-reset/,3 locații (2 restaurante + pensiune) 10+ ani; catering evenimente — rapoarte consolidate lipsă.,multi_location,Reset operează Irish Pub și Scuar în Brăila — POS pe locație ar compara veniturile pe concept.,medium,pending
Chopstix,Național,multi_location,Echipă,Contact general,office@chopstix.ro,https://cluj.iuliusmall.com/ro/dining/restaurante/chopstix,22+ locații food court; office@chopstix.ro per mall — standardizare meniu/preț critică.,multi_location,Chopstix cu 22+ locații în food court-uri — POS central cu meniu master ar simplifica update-urile de preț.,high,pending
Stradale,București/Cluj,multi_location,Echipă,Marketing & operațional,office@flavours.ro,https://stradale.ro/,15+ locații office/campus București+Cluj; evenimente stradaleevents@flavours.ro — complexitate lanț café.,multi_location,Stradale e în S-Park J8 și Hexagon — POS lanț ar compara vânzările café per clădire office.,high,pending
Tip Top,București,multi_location,Echipă,Contact general,office@tiptop.ro,https://tiptop.ro/product/prajitura-tip-top/,Lanț cofetărie din 1993; 400+ produse Takeaway integrat — ERP vs. POS magazin posibil legacy.,multi_location,Tip Top livrează patiserie din 1993 — POS modern per magazin ar accelera reconcilierea cu Takeaway.,high,pending
Paul Romania,București,takeaway/patiserie,Echipă,Contact general,contact@paul.ro,https://www.paul.ro/contact/,Lanț patiserie francuză; comenzi catering și retail — flux POS per locație neuniform.,multi_location,Paul servește corporate și retail — POS multi-locație ar alinia rapoartele Z pe toate unitățile.,high,pending
Simbio,București,takeaway/patiserie,Echipă,Contact general,office@simbio.ro,https://simbio.ro/contact/,Bistro organic + livrare; meniu sezonier — stoc ingrediente vs. vânzări nealiniat.,pro,Simbio pe Negustori livrează organic — POS cu rețete ar proteja marja pe meniul sezonier.,high,pending
Acuarela Cofetărie,Constanța,takeaway/patiserie,Echipă,Comenzi,comenzi@acuarela.ro,https://acuarelacofetarie.ro/contact/,Cofetărie la comandă Constanța; torturi eveniment — producție manuală fără pipeline digital.,starter,Acuarela face torturi la comandă — POS comenzi cu dată livrare ar reduce comenzile ratate.,medium,pending
Franco,București,multi_location,Echipă,Contact general,office@franco.ro,https://franco.ro/contact/,Lanț restaurante italiene București; rezervări centralizate dar POS per locație fragmentat.,multi_location,Franco operează mai multe trattorii — raport POS central ar compara performanța pe locație.,high,pending
